"alarm","date","activity","happy","content","relaxed","horny"
2021-03-12T10:10,2021-03-12T10:10,"",51,52,50,
2021-03-12T11:30,2021-03-12T11:30,"",51,53,52,
2021-03-12T14:25,2021-03-12T14:25,"",49,48,54,
2021-03-12T19:09,2021-03-12T19:09,"",55,56,55,
2021-03-13T12:16,2021-03-13T12:16,"",52,52,52,
2021-03-13T13:50,2021-03-13T13:50,"",53,53,48,
2021-03-13T18:14,2021-03-13T18:14,"",51,54,53,
2021-03-13T20:53,2021-03-13T20:53,"",51,46,53,
2021-03-14T13:47,2021-03-14T13:47,"",52,52,54,
2021-03-14T13:57,2021-03-14T13:57,"",54,54,58,
2021-03-14T21:08,2021-03-14T21:08,"",51,49,53,
2021-03-15T09:26,2021-03-15T09:26,"",53,54,52,
2021-03-15T10:28,2021-03-15T10:28,"",54,55,52,
2021-03-15T12:02,2021-03-15T12:02,"",52,52,53,
